"Country","Age","Gender","Kids","Education","WorkStatus","Income","Job","ExpYears","ExpMonths","Community","Marital","Sons","Daughters","DPQues1","DPQues2","DPQues3","DPQues4","DPQues5","AIPQues1","AIPQues2","AIPQues3","AIPQues4","AIPQues5","AIPQues6","AIPQues7","AIPQues8","AIPQues9","AIPQues10","AIPQues11","AIPQues12","AIPQues13","AIPQues14","AIPQues15","GPQues1","GPQues2","GPQues3","GPQues4","GPQues5","GPQues6","GPQues7","GPQues8","GPQues9","GPQues10","GPQues11","GPQues12","GPQues13","GPQues14","GPQues15","GPQues16","GPQues17","GPQues18","GPQues19","GPQues20","SWLSQues1","SWLSQues2","SWLSQues3","SWLSQues4","SWLSQues5","SelfQuestion","OthQuestion","GPMean","AIPMean","SWLSMean","DPMean","HDI","Category","matching"
"Australia",25,"Male","No","deg","student",10000,"Student",0,0,"Large-City","Single",0,0,2,1,1,1,1,1,1,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,3,2,1,4,4,1,4,5,4,5,1,1,4,4,1,2,5,5,3,4,2,4,2,"yes","yes",2.9,2.7,3,1.2,0.939,"Very high human development",1
"Australia",32,"Female","Yes","dip","part-time",55000,"Business",5,0,"Large-City","Separated",0,1,3,2,4,2,2,3,1,3,1,3,4,3,4,3,3,2,1,3,1,4,3,1,2,1,4,3,5,3,4,1,1,4,3,2,3,5,5,3,3,3,2,2,2,2,2,"yes","yes",3,2.6,2,2.6,0.939,"Very high human development",1
"Australia",32,"Male","No","ma","full-time",55000,"Information Technology Consultant",3,0,"Small City","Married",0,0,4,4,5,5,5,1,1,5,2,5,3,5,5,5,5,3,1,2,1,2,4,3,2,2,4,3,5,5,5,4,2,5,1,3,4,5,4,5,5,4,2,5,3,3,4,"yes","yes",3.8,3.1,3.4,4.6,0.939,"Very high human development",1
"Australia",24,"Male","No","ltuni","student",10000,"Student",0,0,"Large Town","Single",0,0,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.5,1,5,0.939,"Very high human development",1
"Australia",21,"Female","No","deg","student",10000,"Student",4,6,"Large-City","Single",0,0,5,5,4,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,4.8,1,4.6,0.939,"Very high human development",1
"Australia",22,"Female","No","high","full-time",25000,"Housekeeping",0,6,"Large-City","Single",0,0,3,1,5,2,3,1,1,5,1,2,1,5,2,1,1,5,1,5,1,5,5,3,2,2,4,1,5,4,5,2,4,4,1,2,4,5,5,4,5,5,4,4,4,3,3,"yes","no",3.6,2.5,3.6,2.8,0.939,"Very high human development",0
"Australia",20,"Male","No","ltuni","student",10000,"Student",3,3,"Medium-Sized","Single",0,0,4,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,5,5,2,4,4,4,3,2,4,3,2,4,3,4,4,4,3,1,2,1,1,1,"yes","yes",3.5,3.6,1.2,4,0.939,"Very high human development",1
"Australia",37,"Male","No","deg","full-time",67500,"Medical Practitioner",17,0,"Large-City","Single",0,0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,"yes","yes",4,3.7,1.4,4.2,0.939,"Very high human development",1
"Australia",24,"Male","No","ma","student",10000,"Student",0,3,"Large-City","Single",0,0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.3,3.6,2.8,0.939,"Very high human development",0
"Australia",32,"Female","Yes","ma","full-time",67500,"Veterinarian",7,0,"Small City","Married",1,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.8,3,4.2,3.6,0.939,"Very high human development",1
"Australia",28,"Female","No","ma","full-time",150000,"Management Consultant & Entrepreneur",1,0,"Large-City","Married",0,0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",2.5,2.3,4.6,1.6,0.939,"Very high human development",0
"Australia",45,"Male","Yes","deg","full-time",55000,"Technical Officer",1,9,"Large-City","Married",2,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.1,1.8,3.6,2.2,0.939,"Very high human development",0
"Australia",32,"Male","No","ltuni","full-time",45000,"Service Co-Ordinator",0,7,"Large-City","Single",0,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",4.1,4.1,1.6,3.6,0.939,"Very high human development",1
"Australia",45,"Male","Yes","ma","full-time",87500,"Na",0,0,"Village","Separated",2,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",4.2,2.7,2.2,3,0.939,"Very high human development",1
"Australia",55,"Male","No","lthigh","unemployed",15000,"Na",6,6,"Rural/Country","Divorced",0,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","NA",2.7,1.9,1.2,2.8,0.939,"Very high human development",0
"Australia",28,"Female","No","deg","full-time",55000,"Na",1,4,"8","",0,0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,"yes","no",2.6,2.1,3.2,2.2,0.939,"Very high human development",0
"Australia",45,"Female","No","deg","full-time",35000,"Na",0,9,"Medium-Sized","Single",0,0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.1,1.8,3.4,0.939,"Very high human development",1
"Australia",45,"Female","No","ma","full-time",67500,"Na",2,0,"Village","Married",0,0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,2.4,3,0.939,"Very high human development",0
"Australia",23,"Female","No","ltuni","student",10000,"Student",0,0,"Village","Single",0,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",4.5,4.1,1,5,0.939,"Very high human development",1
"Australia",45,"Female","Yes","deg","full-time",55000,"Na",6,0,"Medium-Sized","Divorced",1,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.7,1.9,2,2.4,0.939,"Very high human development",0
"Australia",32,"Male","No","ma","full-time",35000,"Na",1,0,"Village","Single",0,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",4,3.6,1,5,0.939,"Very high human development",1
"Australia",19,"Female","No","high","student",10000,"Student",0,5,"Large Town","Single",0,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2,1.9,3.8,2.2,0.939,"Very high human development",1
"Australia",28,"Female","No","deg","full-time",67500,"Na",3,0,"Village","Married",0,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",4.1,4.1,3,3.6,0.939,"Very high human development",1
"Australia",45,"Female","No","lthigh","retired",0,"Na",0,6,"Village","Married",0,0,3,3,4,3,2,1,1,4,1,2,1,1,4,1,1,1,1,3,1,2,3,3,2,3,3,3,3,4,3,2,5,3,3,3,3,4,3,4,3,4,4,4,2,4,3,"yes","no",3.2,1.7,3.4,3,0.939,"Very high human development",0
"Australia",45,"Female","Yes","deg","part-time",87500,"Na",0,6,"Medium-Sized","Single",0,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,1,4,4,3,3,2,4,3,2,4,2,3,3,4,4,3,3,2,3,3,1,"yes","no",3,2.3,2.4,2.8,0.939,"Very high human development",0
"Australia",32,"Female","No","ma","full-time",67500,"Na",10,9,"Small Town","Married",0,0,4,4,4,2,2,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,2,3,4,2,2,5,4,4,3,4,2,4,4,4,4,4,4,4,4,"yes","no",3.1,1.8,4,3.2,0.939,"Very high human development",0
"Australia",45,"Male","Yes","phd","part-time",250000,"Na",9,0,"Village","Married",5,3,1,1,2,2,1,5,5,5,5,5,1,5,5,5,4,5,5,5,5,1,1,5,5,5,1,5,1,5,1,2,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,"no","no",3.8,4.4,5,1.4,0.939,"Very high human development",1
"Australia",28,"Female","No","ltuni","full-time",55000,"Na",2,2,"Village","Single",0,0,4,4,4,5,5,2,4,3,5,4,5,5,4,5,5,3,5,4,5,5,5,4,4,5,4,5,4,4,4,4,5,3,1,3,4,4,4,5,5,4,1,2,2,1,2,"yes","yes",4,4.3,1.6,4.4,0.939,"Very high human development",1
"Australia",28,"Female","No","ma","full-time",55000,"Na",1,0,"Village","Single",0,0,2,3,3,3,3,2,3,2,4,3,5,4,3,4,4,2,4,4,3,4,4,3,2,2,2,3,4,3,4,3,3,4,2,2,4,2,2,3,4,4,3,3,3,3,2,"yes","yes",3,3.4,2.8,2.8,0.939,"Very high human development",1
"Australia",55,"Female","No","deg","full-time",15000,"Na",6,0,"Village","Single",0,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",2.2,2.1,5,1.8,0.939,"Very high human development",1
"Australia",55,"Female","Yes","dip","full-time",87500,"Na",14,0,"Village","Single",3,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",3.1,2.3,3.4,2.4,0.939,"Very high human development",0
"Australia",19,"Male","No","ltuni","student",15000,"Student",2,4,"Village","Single",0,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.7,3.2,3.4,3.4,0.939,"Very high human development",1
"Australia",45,"Female","Yes","deg","full-time",87500,"Na",4,0,"Village","Married",3,1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",2,1.7,1,1,0.939,"Very high human development",0
"Australia",22,"Male","No","ltuni","student",10000,"Student",2,0,"Village","Single",0,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.9,4.1,2.8,3.4,0.939,"Very high human development",1
"Australia",28,"Male","No","ltuni","part-time",15000,"Na",0,6,"Village","Single",0,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",4.3,4.5,1.4,5,0.939,"Very high human development",1
"Australia",28,"Male","No","deg","full-time",35000,"Na",2,0,"Village","Single",0,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",4.2,3.7,2.4,5,0.939,"Very high human development",1
"Australia",28,"Male","No","deg","full-time",45000,"Na",2,0,"Village","Separated",0,0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.5,3.5,1,4.8,0.939,"Very high human development",1
